"","analyte","community_2","season","n","min","max","median","mean","sd","gmean","gsd"
"177","V","Tucson","Winter",48,0.239,7.59,1.33,1.71,1.58,1.24,2.22
"178","V","Tucson","Monsoon",21,0.709,11.4,1.43,2.96,2.96,2,2.38
"179","V","Tucson Spanish","Winter",83,0.23,27,1.84,2.87,4.18,1.81,2.44
"180","V","Tucson Spanish","Monsoon",36,0.49,29,3.46,4.8,4.94,3.6,2.1
"181","Zn","Dewey-Humboldt","Winter",27,1.4,639,32,112,182,38.2,4.45
"182","Zn","Dewey-Humboldt","Monsoon",15,6.82,3640,24.8,316,932,45.5,5.21
"183","Zn","Globe/Miami","Winter",68,3.94,2590,78,280,538,88.5,4.51
"184","Zn","Globe/Miami","Monsoon",39,7.22,4170,220,477,864,186,4.3
"185","Zn","Hayden/Winkelman","Winter",55,5.95,1280,44.4,147,282,50.1,3.92
"186","Zn","Hayden/Winkelman","Monsoon",18,7.84,976,60.3,170,245,75.5,3.74
"187","Zn","Tucson","Winter",48,3.68,7630,116,709,1650,171,4.35
"188","Zn","Tucson","Monsoon",21,18.8,12700,168,1320,3110,225,5.47
"189","Zn","Tucson Spanish","Winter",83,2.4,737,70.4,121,135,72.7,2.89
"190","Zn","Tucson Spanish","Monsoon",36,9.46,1190,72.8,150,223,77.3,3.2
"191","pli","Dewey-Humboldt","Winter",27,0.148,5.99,0.771,1.08,1.08,0.826,2.03
"192","pli","Dewey-Humboldt","Monsoon",15,0.511,7.88,1.62,2.18,1.92,1.64,2.14
"193","pli","Globe/Miami","Winter",68,0.244,24.6,1.54,2.35,3.18,1.66,2.1
"194","pli","Globe/Miami","Monsoon",39,0.369,21.7,3.78,5.14,4.42,3.87,2.18
"195","pli","Hayden/Winkelman","Winter",55,0.169,10.2,2.04,2.36,1.8,1.79,2.27
"196","pli","Hayden/Winkelman","Monsoon",18,1.13,13.4,3.3,4.65,3.84,3.47,2.17
"197","pli","Tucson","Winter",48,0.199,8.19,1.22,1.57,1.37,1.28,1.83
"198","pli","Tucson","Monsoon",21,0.914,7.15,1.91,2.66,1.77,2.25,1.78
"199","pli","Tucson Spanish","Winter",83,0.118,13.1,1.29,1.69,1.71,1.31,1.99
"200","pli","Tucson Spanish","Monsoon",36,0.857,6.66,2.41,2.56,1.42,2.21,1.73
