"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"197","Sn","Medium","Dewey-Humboldt",11,0.011,1.03,0.044,0.163,0.296,0.0648,3.79
"198","Sn","Medium","Globe/Miami",59,0.011,80.7,0.1,1.98,10.7,0.123,4.69
"199","Sn","Medium","Hayden/Winkelman",32,0.00196,6.35,0.0723,0.423,1.21,0.0716,5.91
"200","Sn","Medium","Tucson",121,0.011,1.76,0.107,0.182,0.238,0.105,2.82
"201","Sn","High","Dewey-Humboldt",14,0.024,0.461,0.0708,0.103,0.114,0.0698,2.36
"202","Sn","High","Globe/Miami",44,0.00092,6.02,0.0892,0.38,1.06,0.0916,4.88
"203","Sn","High","Hayden/Winkelman",5,0.0194,0.0456,0.03,0.0332,0.0113,0.0316,1.43
"204","Sn","High","Tucson",125,0.011,3.21,0.096,0.262,0.45,0.118,3.27
"205","V","None","Dewey-Humboldt",28,0.145,9.73,2.11,3.22,2.88,2.12,2.76
"206","V","None","Globe/Miami",20,0.417,4.45,0.851,1.08,0.883,0.893,1.8
"207","V","None","Hayden/Winkelman",51,0.173,17.5,1.3,2.27,2.93,1.46,2.4
"208","V","None","Tucson",61,0.63,9.13,1.7,2.39,1.74,1.95,1.86
"209","V","Medium","Dewey-Humboldt",11,0.44,6.02,1.4,2.39,2,1.76,2.31
"210","V","Medium","Globe/Miami",59,0.276,13.2,1.4,2.37,2.57,1.53,2.5
"211","V","Medium","Hayden/Winkelman",32,0.443,7.99,1.75,2.3,1.84,1.79,2.04
"212","V","Medium","Tucson",121,0.301,18.3,2.02,2.62,2.39,1.9,2.27
"213","V","High","Dewey-Humboldt",14,0.59,5.11,1.4,2.11,1.65,1.56,2.27
"214","V","High","Globe/Miami",44,0.176,8.06,1.66,1.94,1.62,1.41,2.33
"215","V","High","Hayden/Winkelman",5,0.861,5.26,1.7,2.52,1.8,2.05,2.05
"216","V","High","Tucson",125,0.23,29,1.87,3.25,4.41,1.99,2.59
"217","Zn","None","Dewey-Humboldt",28,6.42,663,36.6,127,189,55.3,3.46
"218","Zn","None","Globe/Miami",20,7.22,353,123,143,103,102,2.66
"219","Zn","None","Hayden/Winkelman",51,6.54,8450,74.3,400,1190,113,4.26
"220","Zn","None","Tucson",61,5.74,8510,125,542,1300,147,4.52
"221","Zn","Medium","Dewey-Humboldt",11,5.37,669,17.4,131,259,25.7,5.44
"222","Zn","Medium","Globe/Miami",59,8.23,4170,91.4,475,872,125,5.49
"223","Zn","Medium","Hayden/Winkelman",32,5.95,541,26.6,82.5,133,33.6,3.68
"224","Zn","Medium","Tucson",121,2.4,7630,82.4,363,1160,91.8,3.96
"225","Zn","High","Dewey-Humboldt",14,1.4,3640,85.9,416,951,79.1,7.66
"226","Zn","High","Globe/Miami",44,3.94,1100,115,204,258,81.6,4.77
"227","Zn","High","Hayden/Winkelman",5,43.4,63.7,50.3,52.9,8.11,52.4,1.16
"228","Zn","High","Tucson",125,2.56,13300,114,623,1950,143,4.2
